,color1,color2,color3
697,#f9fafe,#908476,#000000
698,#f9fafe,#908476,#000000
699,#ebe0da,#aea795,#000000
700,#c6bbb7,#59524c,#ffffff
701,#ffffff,#7d7f8b,#433b30
702,#aea89a,#676b6e,#f0eedf
703,#5a422a,#c3a688,#def2fb
704,#5a422a,#c3a688,#def2fb
705,#ffffff,#030102,#5f4c3b
706,#f3eddf,#a8aba4,#120e0d
707,#ffffff,#baa391,#1f0c12
708,#ffffff,#c3b2ab,#392218
709,#dce1e4,#18181a,#9da2a5
710,#dce1e4,#18181a,#9da2a5
711,#efdabf,#b59272,#4b311a
712,#efdabf,#b59272,#4b311a
713,#786d69,#cbc7c4,#312d2a
714,#726159,#afb3bc,#ffffff
715,#242424,#636059,#ffffff
716,#cbb5a8,#080000,#684d44
717,#ffffff,#baaca3,#202328
718,#a69f95,#fefefe,#4a4438
719,#6b1f0f,#ada090,#eaedf2
720,#917c61,#d8ccbc,#45382f
721,#917c61,#d8ccbc,#45382f
722,#cec4bb,#42433e,#9c7f5f
723,#ffffff,#b49d8b,#231012
724,#e5e0dc,#2e2d33,#909285
725,#ffffff,#b4b9b3,#474747
726,#ffffff,#b4b9b3,#474747
727,#ffffff,#bda38a,#040000
728,#ffffff,#253834,#b5c1ad
729,#f0ebd8,#000000,#764525
730,#08070c,#af936e,#ecdcb9
731,#ffffff,#b3a091,#7a644d
732,#ffffff,#a29a87,#4b4537
733,#cdc4bd,#2b2120,#666958
734,#cdc4bd,#2b2120,#666958
735,#d4c1b3,#ffffff,#3c1c05
736,#917047,#322212,#ffffff
737,#bebebe,#ffffff,#746d63
738,#c5bdbb,#160c0a,#878078
739,#e2d9b8,#95865f,#181411
740,#e2d9b8,#95865f,#181411
741,#ffffff,#b6b6b6,#8b7b6b
742,#111111,#b4aaa8,#586877
743,#ffffff,#9c9c9c,#193c14
744,#d3d3d3,#646965,#312927
745,#d3d3d3,#646965,#312927
746,#060702,#805a36,#f9deab
747,#060702,#805a36,#f9deab
748,#ffffff,#c2c3be,#505149
749,#ccc8bd,#394456,#61879a
750,#ccc8bd,#394456,#61879a
751,#9f8f80,#dfd5cc,#392a25
752,#9f8f80,#dfd5cc,#392a25
753,#f5ffff,#c7b295,#8b6f50
754,#636766,#1c1d18,#ffffff
755,#080904,#e2c798,#674e30
756,#080904,#e2c798,#674e30
757,#ffffff,#98937f,#000000
758,#ffffff,#28231f,#c3c0b9
759,#9e8d71,#ffffff,#13090a
760,#dfcdb5,#300e05,#9e805a
761,#dfcdb5,#300e05,#9e805a
762,#000000,#b67938,#cbb897
763,#ffffff,#8d867c,#1b1a1f
764,#ffffff,#b69874,#1e0000
765,#ffffff,#504333,#a29a97
766,#ffffff,#504333,#a29a97
767,#bcc1bb,#fafafa,#757470
768,#ffffff,#968f89,#32211a
769,#ffffff,#968f89,#32211a
770,#ffffff,#b8aea2,#816444
771,#ffffff,#cec8b8,#332e2a
772,#ebdbcb,#8c512f,#ce8b5f
773,#11140d,#b8b9b4,#4c4e49
774,#ffffff,#30353b,#948b7a
775,#ffffff,#30353b,#948b7a
776,#ffffff,#827d69,#49312d
777,#bbb6b2,#000000,#78736f
778,#bbb6b2,#000000,#78736f
779,#b1a599,#846c52,#fffffb
780,#ffffff,#d6b99b,#a16759
781,#ffffff,#665344,#060508
782,#ffffff,#b7b4ad,#482d18
783,#848e97,#161616,#615046
784,#ffffff,#817664,#0b0b0d
785,#ffffff,#c09c86,#57371e
786,#d8d7dc,#806d5e,#0a0a0a
787,#e8e9eb,#412e20,#866f67
788,#e8e9eb,#412e20,#866f67
789,#b7bcc2,#70737a,#191820
790,#f9fdfc,#201f24,#969792
791,#1c1713,#ffffff,#746b62
792,#ffffff,#364433,#c3b298
793,#ffffff,#364433,#c3b298
794,#ffffff,#91826d,#432817
795,#e3cdb6,#000000,#7d6a5c
796,#ffffff,#a89e95,#312622
797,#8a877e,#4a4742,#d9d3c5
798,#8a877e,#4a4742,#d9d3c5
799,#4e4936,#a2996e,#000000
800,#ae7256,#160000,#decbbc
801,#b1948c,#080000,#faf0d5
802,#594415,#ffffff,#99916c
803,#ffffff,#c4c4c4,#917a6c
804,#ffffff,#b8b3af,#000000
805,#ffffff,#9c9c9c,#62442c
806,#ffffff,#352118,#b4a494
807,#362416,#c9b183,#7f5f39
808,#d8d9db,#999a95,#35322b
809,#d8d9db,#999a95,#35322b
810,#f5e6c9,#b58554,#443e5a
811,#ffffff,#b3a48f,#635d4f
812,#b0b8c3,#595e64,#05060a
813,#ccc8bd,#181310,#827a6f
814,#ffffff,#c2aa86,#c49217
815,#ffffff,#989085,#32241b
816,#ffffff,#989085,#32241b
817,#ffffff,#c8bcac,#807778
818,#dbd7cc,#7f7667,#312a20
819,#dbd7cc,#7f7667,#312a20
820,#ffffff,#8c7a66,#cdbfa2
821,#827c6e,#c9c7b8,#000000
822,#827c6e,#c9c7b8,#000000
823,#cac8c9,#a1916d,#0a0000
824,#c4c9cf,#312829,#6b7375
825,#acb2a4,#73523f,#25110a
826,#7a7270,#2f2822,#cccdc8
827,#7a7270,#2f2822,#cccdc8
828,#ffffff,#a9a09b,#1f1d20
829,#bdae91,#54231c,#9e6a3b
830,#010000,#b7a58d,#584536
831,#ffffff,#dbc3a1,#22231e
832,#ffffff,#b8b195,#796b4f
833,#060604,#ffffff,#8d9a93
834,#ffffff,#687482,#392316
835,#fafafa,#a49d97,#544943
836,#ffffff,#b4ae8e,#7a522f
837,#ffffff,#b0a99f,#3e1e13
838,#ffffff,#141414,#b2b2b2
839,#ffffff,#1f1f21,#adadab
840,#ededef,#261e1b,#b2acac
